Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:
(u'KAUFMAN, R', u'COMP100') -0.0125
(u'KAUFMAN, R', u'CL202') -0.05
(u'KAUFMAN, R', u'COM100') -0.0125
(u'KAUFMAN, R', u'CL100') 0.0375
(u'KAUFMAN, R', u'RHETC221') 0.0125
(u'KAUFMAN, R', u'CL170') -0.0125
(u'KAUFMAN, R', u'CL190') 0.05
(u'KAUFMAN, R', u'CL155') -0.025
(u'KAUFMAN, R', u'CLGRAD') -0.0125
(u'LANGIONE, M', u'132B') 0.0833333333333
(u'LANGIONE, M', u'AMSTD10') 0.208333333333
(u'LANGIONE, M', u'BC198') 0.166666666667
(u'LANGIONE, M', u'ENGR1B') 0.229166666667
(u'YAMANAKA, K', u'AS1') 0.0546875
(u'YAMANAKA, K', u'ASSECT') -0.0234375
(u'YAMANAKA, K', u'AS150') 0.0625
(u'YAMANAKA, K', u'AAMST151') 0.0546875
(u'YAMANAKA, K', u'AAS150') 0.0859375
(u'YAMANAKA, K', u'ASTAM150') 0.03125
(u'YAMANAKA, K', u'AS10') 0.0546875
(u'ZYWINA, D', u'MATH1B') 0.3125
(u'ZYWINA, D', u'MATH121') -0.0625
(u'ZYWINA, D', u'MATHH54') 0.1875
(u'KAUFMAN, C', u'STAT133') 0.2
(u'KAUFMAN, C', u'STATS133') 0.125
(u'KAUFMAN, C', u'STAT200B') 0.025
(u'ESMEIR, S', u'RHET155') 0.125
(u'ESMEIR, S', u'RHET103B') 0.0833333333333
(u'ESMEIR, S', u'RHET106') 0.0208333333333
(u'ESMEIR, S', u'RHET150') 0.125
(u'ESMEIR, S', u'RHET136') 0.0416666666667
(u'WEMMER, D', u'MCB01') -0.0555555555556
(u'WEMMER, D', u'MCB100') -0.0138888888889
(u'WEMMER, D', u'MCB100A') -0.416666666667
(u'ALVAREZ-COHEN, L', u'CE111CE114') 0.25
(u'ALVAREZ-COHEN, L', u'CEE114') 0.375
(u'CUK, T', u'CHEM4A') 0.075
(u'ANAGNOSTOPOULOS, A', u'PHIL100') 0.0625
(u'ANAGNOSTOPOULOS, A', u'PHILO4') 0.0
(u'CARVER, B', u'INFO237') 0.375
(u'SMOOT, G', u'PHYS7B') -0.1875
(u'SMOOT, G', u'PHYSI308') -0.0875
(u'SMOOT, G', u'PHY7B') -0.025
(u'SMOOT, G', u'PHYS07B') 0.05
(u'SMOOT, G', u'YO909') 0.05
(u'SMOOT, G', u'PHYS7') -0.03125
(u'SMOOT, G', u'PHYSICS7B') -0.0375
(u'SMOOT, G', u'PHYSICS') -0.04375
(u'SMOOT, G', u'PHYS139') 0.0
(u'OLIENSIS, E', u'CLASSICSR44') 0.0078125
(u'OLIENSIS, E', u'LANDSR44') 0.0234375
(u'OLIENSIS, E', u'LSR44') 0.1328125
(u'OLIENSIS, E', u'LATIN102') 0.03125
(u'OLIENSIS, E', u'LAMPSR44') 0.0
(u'OLIENSIS, E', u'R44') 0.03125
(u'OLIENSIS, E', u'LATIN117') 0.015625
(u'OLIENSIS, E', u'LATIN119') 0.015625
(u'OLIENSIS, E', u'WESTERNCIV') 0.046875
(u'GOLBURT, L', u'SLAV45') 0.225
(u'GOLBURT, L', u'ENGL125C') 0.0375
(u'GOLBURT, L', u'ENG125C') 0.05
(u'GOLBURT, L', u'SLAVI45') 0.0375
(u'GOLBURT, L', u'SLAV133') 0.05
(u'GOLBURT, L', u'SLAV39L') 0.05
(u'TIPTON, C', u'ENGLIR1B') -0.125
(u'TIPTON, C', u'ENGR1B') 0.0833333333333
(u'STAIR, C', u'PSYCH2') 0.0263157894737
(u'STAIR, C', u'PSYCH1') 0.743421052632
(u'STAIR, C', u'PSYCH02N') 0.0263157894737
(u'MILITZER, B', u'ASTRONW12') 0.125
(u'MILITZER, B', u'EPS109') 0.333333333333
(u'CLOVER, C', u'SCANDIN125') 0.291666666667
(u'CLOVER, C', u'FILM108') 0.0833333333333
(u'CLOVER, C', u'SCANDINAVIAN12') 0.25
(u'HU, C', u'EE130') 0.458333333333
(u'AGARWAL, S', u'ANTHR1') 0.09375
(u'AGARWAL, S', u'ANTHR127A') 0.0375
(u'AGARWAL, S', u'ANTHRO1') 0.11875
(u'AGARWAL, S', u'ANTHROC129F') 0.05
(u'AGARWAL, S', u'ANTH1') 0.05
(u'HORNBY, L', u'COMPR1A') -0.625
(u'MADVA, A', u'67133') 0.375
(u'MADVA, A', u'PHILOSOPHY6') 0.25
(u'LISHKO, P', u'MCB136') 0.25
(u'SILVER, J', u'MATH16B') -0.2875
(u'SILVER, J', u'MATHB') 0.0
(u'SILVER, J', u'MATH104') 0.03125
(u'SILVER, J', u'MATH135') 0.0
(u'SILVER, J', u'MATH125') 0.01875
(u'SILVER, J', u'MATH225B') -0.01875
(u'MCCOIN, M', u'NST10') 0.1875
(u'MCCOIN, M', u'NUSCTX10') -0.0625
(u'MCCOIN, M', u'NUT10') -0.15625
(u'MCCOIN, M', u'NST104') 0.25
(u'RIZZUTO, A', u'CHEM1AL') 0.5
(u'LLAGAS, K', u'FILIPNW100A') 0.5
(u'LLAGAS, K', u'FIL100B') 0.375
(u'SILVER, W', u'ESPM111') -0.229166666667
(u'SILVER, W', u'ESPM116') -0.0833333333333
(u'COLE, C', u'RIA2') -0.0125
(u'COLE, C', u'CWRPR1A') 0.0
(u'COLE, C', u'CWRR1A') 0.0
(u'COLE, C', u'UGBA1001') -0.05
(u'COLE, C', u'CW4') -0.00625
(u'COLE, C', u'CWR1') 0.0125
(u'COLE, C', u'CWRA') -0.00625
(u'COLE, C', u'COLLEGEWRITING') -0.025
(u'COLE, C', u'WRI10') -0.0125
(u'COLE, C', u'CWR1A') -0.01875
(u'GRONE, M', u'ANTHRO2AC') 1.0
(u'ABUSAAD, R', u'MASCO104') 0.1
(u'ABUSAAD, R', u'COMUN02') 0.1
(u'ABUSAAD, R', u'ARABI1A') -0.1
(u'ABUSAAD, R', u'IDST30') 0.05
(u'READ, I', u'HIST140B') 0.75
(u'MARCUS, S', u'IND') 0.125
(u'MARCUS, S', u'45B') 0.125
(u'LAM, T', u'16A') 0.0347222222222
(u'LAM, T', u'MATH16B') -0.00694444444444
(u'LAM, T', u'MATH16') 0.0555555555556
(u'LAM, T', u'MATH16A') 0.208333333333
(u'STERZING, P', u'SW200') -0.125
(u'CHESHIRE, C', u'INFO271B') 0.5
(u'LAM, L', u'CHINESE178') 0.125
(u'LAM, L', u'CHINESE110A') 0.0
(u'MURRAY, L', u'UGBA178') -0.28125
(u'ASTANEH-ASL, A', u'CE247') 0.05
(u'ASTANEH-ASL, A', u'E36') 0.25
(u'ASTANEH-ASL, A', u'ENGR36') 0.0875
(u'ASTANEH-ASL, A', u'ENG36') 0.0375
(u'ASTANEH-ASL, A', u'CE248') -0.025
(u'SOHN, L', u'ME102A') -0.0294117647059
(u'SOHN, L', u'ME118') -0.125
(u'SOHN, L', u'ME119') -0.117647058824
(u'SOHN, L', u'ME107') -0.0441176470588
(u'SOHN, L', u'ME107A') -0.0367647058824
(u'STEHLIN, J', u'GEO20') 0.15
(u'STEHLIN, J', u'GEOG20') 0.225
(u'STEHLIN, J', u'GEOG110') 0.125
(u'LEVINE, D', u'07926') 0.0208333333333
(u'LEVINE, D', u'UGBA101') 0.03125
(u'LEVINE, D', u'UGBA101B') -0.427083333333
(u'LEVINE, D', u'ECON101B') -0.0625
(u'ALBER, T', u'MCB111') 0.03125
(u'ALBER, T', u'MCB110') 0.1875
(u'ALBER, T', u'MCB100A') 0.0625
(u'VILLALBA, C', u'SPAN21') 0.03125
(u'VILLALBA, C', u'SPAN22') 0.0625
(u'VILLALBA, C', u'SP22') 0.1875
(u'HUG, J', u'CS10') 0.11875
(u'HUG, J', u'CS61B') 0.1875
(u'RUSSELL, S', u'CS188') 0.1
(u'RUSSELL, S', u'CS70') -0.025
(u'GINSBORG, H', u'25B') -0.1375
(u'GINSBORG, H', u'PHILO25B') 0.025
(u'GINSBORG, H', u'PHILO178KANT') 0.00625
(u'GINSBORG, H', u'PHIL25B') 0.10625
(u'ASCOLI, A', u'ITALIAN30') 0.1875
(u'ASCOLI, A', u'ITALIANLIT') 0.125
